file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/NumberOfAssignmentsTest.java,com.github.mauricioaniche.ck.NumberOfAssignmentsTest,class,6,6,0,6,2,2,0,8,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2,13,0,0,0,0,0,5,4,2,1,2,0,0,0,0,17,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/GenericsTest.java,com.github.mauricioaniche.ck.GenericsTest,class,6,6,0,6,5,2,0,13,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,2,0,0,5,5,3,1,4,0,0,0,2,20,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/IndividualFilesWithContextTest.java,com.github.mauricioaniche.ck.IndividualFilesWithContextTest,class,4,4,0,4,4,1,0,12,0,0.2,1.0,1.0,4,0,0,0,0,4,4,0,0,0,5,0,0,5,0,0,5,0,5,38,0,0,0,0,0,8,4,8,0,8,0,1,0,0,33,0,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/ParametersTest.java,com.github.mauricioaniche.ck.ParametersTest,class,5,5,0,5,2,2,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,4,0,2,1,1,0,0,0,0,19,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/MetricsExecutor.java,com.github.mauricioaniche.ck.MetricsExecutor,class,9,11,2,9,4,2,0,7,0,0.125,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,1,0,4,0,0,4,0,0,27,0,1,0,1,0,2,0,6,2,6,2,0,0,0,31,1,3
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/VariableOrParameterUsageCount.java,com.github.mauricioaniche.ck.metric.VariableOrParameterUsageCount,class,8,9,1,8,8,1,0,10,0,0.25,0.6666667,1.0,4,0,3,1,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,22,0,0,0,0,0,0,2,3,1,3,2,0,0,0,28,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/MethodLevelWordCounter.java,com.github.mauricioaniche.ck.metric.MethodLevelWordCounter,class,9,10,1,9,6,1,0,8,0,0.0,1.0,1.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,4,14,0,0,0,0,0,1,0,3,0,2,2,0,0,0,29,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/LCOM.java,com.github.mauricioaniche.ck.metric.LCOM,class,9,10,1,9,17,1,0,17,9,0.5714286,0.26666668,0.26666668,7,0,3,1,0,3,6,0,0,0,2,0,0,0,0,2,0,0,0,40,0,3,0,0,0,0,6,8,2,8,3,0,0,0,38,1,0
/workspaces/ck/./src/main/java/com/github/mauricioaniche/ck/metric/NumberOfFields.java,com.github.mauricioaniche.ck.metric.NumberOfFields,class,6,6,0,6,9,1,0,19,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,9,0,0,9,0,0,1,0,1,41,0,0,0,0,0,0,0,7,0,15,4,0,0,0,39,1,0
/workspaces/ck/./src/test/java/com/github/mauricioaniche/ck/ClassTypeTest.java,com.github.mauricioaniche.ck.ClassTypeTest,class,5,5,0,5,2,2,0,6,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,2,19,0,0,0,0,0,11,1,6,1,6,0,0,0,0,22,1,0
